"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"10122";"0290638L";"ECOLE PRIMAIRE PUBLIQUE DU BOURG";"ARGOL";"RENNES";"Rural à habitat dispersé";"PUBLIC";0;5;93
"10141";"0290710P";"ECOLE PRIMAIRE PUBLIQUE LARVOR";"LOCTUDY";"RENNES";"Rural à habitat dispersé";"PUBLIC";0;2;40
"10146";"0290730L";"ECOLE PRIMAIRE PUBLIQUE LECHIAGAT";"TREFFIAGAT";"RENNES";"Petites villes";"PUBLIC";0;4;70
"10178";"0290836B";"ECOLE PRIMAIRE PUBLIQUE LA POINTE";"BREST";"RENNES";"Grands centres urbains";"PUBLIC";0;9;187
"10191";"0290874T";"ECOLE PRIMAIRE PUBLIQUE JACQUES KERHOAS";"BREST";"RENNES";"Grands centres urbains";"PUBLIC";0;8;201
"10361";"0291340Z";"ECOLE PRIMAIRE PRIVEE NOTRE DAME";"CAST";"RENNES";"Bourgs ruraux";"PRIVE";0;2;25
"10398";"0291413D";"ECOLE PRIMAIRE PRIVEE SAINTE ANNE";"SAINT-FREGANT";"RENNES";"Rural à habitat dispersé";"PRIVE";0;2;47
"10427";"0291465K";"ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LA CLARTE";"BEUZEC-CAP-SIZUN";"RENNES";"Rural à habitat très dispersé";"PRIVE";0;3;46
"10431";"0291479A";"ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LORETTE";"POULDREUZIC";"RENNES";"Rural à habitat dispersé";"PRIVE";0;5;111
"10443";"0291501Z";"ECOLE MATERNELLE PRIVEE SAINTE PHILOMENE";"DOUARNENEZ";"RENNES";"Petites villes";"PRIVE";0;3;54
"10459";"0291536M";"ECOLE PRIMAIRE PRIVEE NOTRE DAME DE KERBERTRAND";"QUIMPERLE";"RENNES";"Centres urbains intermédiaires";"PRIVE";0;11;290
"10462";"0291551D";"ECOLE PRIMAIRE PUBLIQUE PEN AR STREAT";"BREST";"RENNES";"Grands centres urbains";"PUBLIC";1;21;346
"10476";"0291598E";"ECOLE PRIMAIRE PUBLIQUE PIERRE JAKEZ HELIAS";"MELLAC";"RENNES";"Rural à habitat dispersé";"PUBLIC";0;13;299
"10490";"0291670H";"ECOLE PRIMAIRE PUBLIQUE QUIZAC";"BREST";"RENNES";"Grands centres urbains";"PUBLIC";1;13;228
"10503";"0291685Z";"ECOLE ELEMENTAIRE PUBLIQUE PAUL GAUGUIN";"MELGVEN";"RENNES";"Rural à habitat dispersé";"PUBLIC";0;7;155
"10507";"0291691F";"ECOLE PRIMAIRE PUBLIQUE PER-JAKEZ HELIAS";"PLEYBEN";"RENNES";"Bourgs ruraux";"PUBLIC";0;8;202
"10516";"0291712D";"ECOLE MATERNELLE PUBLIQUE PARC AN BREAC'H";"ROSPORDEN";"RENNES";"Bourgs ruraux";"PUBLIC";0;2;40
